iter	Passed	Remaining
0	2	2603
1	4	2189
2	5	1807
3	6	1690
4	7	1531
5	10	1684
6	12	1766
7	13	1683
8	14	1612
9	15	1494
10	16	1461
11	17	1475
12	18	1383
13	22	1590
14	23	1523
15	23	1459
16	24	1421
17	31	1696
18	32	1656
19	33	1630
20	34	1613
21	35	1569
22	36	1545
23	37	1524
24	38	1484
25	38	1447
26	39	1406
27	39	1381
28	41	1376
29	41	1342
30	42	1317
31	42	1290
32	42	1257
33	43	1246
34	44	1228
35	45	1211
36	46	1205
37	46	1186
38	47	1166
39	48	1158
40	49	1154
41	50	1152
42	51	1148
43	52	1139
44	53	1128
45	54	1123
46	55	1120
47	56	1113
48	56	1097
49	56	1080
50	57	1078
51	58	1073
52	59	1068
53	60	1067
54	62	1076
55	63	1074
56	64	1069
57	65	1061
58	66	1058
59	67	1055
60	67	1046
61	68	1034
62	69	1034
63	70	1030
64	72	1036
65	73	1035
66	74	1043
67	75	1037
68	76	1030
69	77	1024
70	79	1042
71	80	1041
72	81	1037
73	82	1030
74	85	1051
75	85	1042
76	86	1040
77	87	1038
78	89	1040
79	90	1041
80	91	1038
81	92	1036
82	93	1035
83	95	1038
84	96	1036
85	97	1033
86	97	1026
87	98	1021
88	99	1014
89	99	1007
90	100	1003
91	101	999
92	101	990
93	102	986
94	102	981
95	104	979
96	104	973
97	105	967
98	106	971
99	107	970
100	108	966
101	109	967
102	110	964
103	111	961
104	112	955
105	113	954
106	113	949
107	114	945
108	115	947
109	117	947
110	117	943
111	118	939
112	119	937
113	119	932
114	120	928
115	121	923
116	121	916
117	122	914
118	123	912
119	123	906
120	124	904
121	125	902
122	125	898
123	126	897
124	127	893
125	128	891
126	129	889
127	130	888
128	131	888
129	131	882
130	132	879
131	133	878
132	134	876
133	135	873
134	135	870
135	136	868
136	137	866
137	138	864
138	138	860
139	139	857
140	140	858
141	142	858
142	142	854
143	143	853
144	144	852
145	144	847
146	145	843
147	147	847
148	147	844
149	148	841
150	149	838
151	149	836
152	157	874
153	158	870
154	159	869
155	159	864
156	160	861
157	161	860
158	162	861
159	163	860
160	165	861
161	165	858
162	166	856
163	168	856
164	169	855
165	169	853
166	170	851
167	171	849
168	177	872
169	177	867
170	178	864
171	178	860
172	179	859
173	180	858
174	181	856
175	182	852
176	182	850
177	183	845
178	184	846
179	185	845
180	186	842
181	187	841
182	188	841
183	189	839
184	190	839
185	191	836
186	191	833
187	192	831
188	193	828
189	194	827
190	194	825
191	195	821
192	196	820
193	196	816
194	197	815
195	198	814
196	199	812
197	199	808
198	200	806
199	200	803
200	201	802
201	202	800
202	203	797
203	203	794
204	204	792
205	204	789
206	205	787
207	205	784
208	206	782
209	207	780
210	207	777
211	208	774
212	209	772
213	209	770
214	210	767
215	210	764
216	211	763
217	213	764
218	213	762
219	214	760
220	215	758
221	219	770
222	220	768
223	221	766
224	221	764
225	222	762
226	223	761
227	224	760
228	225	758
229	226	756
230	227	755
231	227	752
232	228	750
233	229	749
234	229	748
235	230	745
236	231	745
237	232	744
238	233	743
239	234	741
240	234	739
241	235	737
242	236	736
243	236	734
244	237	733
245	238	732
246	239	731
247	240	729
248	241	727
249	242	727
250	243	725
251	243	723
252	244	723
253	245	722
254	247	722
255	248	720
256	248	719
257	249	717
258	249	715
259	250	713
260	251	712
261	251	709
262	252	708
263	253	705
264	253	702
265	254	702
266	255	701
267	256	700
268	257	699
269	258	698
270	259	697
271	260	696
272	260	694
273	261	693
274	262	692
275	263	691
276	264	689
277	265	688
278	265	687
279	267	686
280	267	685
281	268	684
282	269	683
283	270	682
284	271	680
285	272	680
286	273	679
287	274	678
288	274	676
289	275	674
290	276	674
291	277	672
292	277	670
293	278	669
294	279	667
295	279	665
296	280	664
297	281	662
298	281	660
299	282	659
300	283	658
301	284	657
302	285	655
303	286	654
304	286	653
305	287	652
306	288	651
307	289	649
308	289	647
309	290	646
310	291	645
311	291	643
312	292	642
313	293	640
314	294	640
315	295	638
316	296	637
317	297	637
318	297	635
319	297	632
320	298	631
321	299	630
322	300	629
323	301	628
324	302	627
325	302	625
326	302	623
327	303	621
328	304	620
329	304	619
330	306	618
331	306	617
332	307	616
333	308	615
334	309	614
335	310	613
336	311	612
337	312	612
338	313	611
339	314	610
340	315	608
341	315	607
342	316	606
343	317	605
344	318	604
345	319	603
346	320	602
347	321	601
348	322	600
349	322	599
350	323	598
351	324	597
352	325	597
353	326	595
354	327	594
355	328	593
